,char,length,count
279,一,194.3468551483944,3
280,"一"" kvg:radical=""tradit",175.67110930678774,3
281,"卜"" kvg:variant=""true",174.32245304019477,3
282,丨,235.8997690546562,4
283,"一"" kvg:radical=""general",255.62445248098498,3
284,卜,285.4201038512139,4
285,"一"" kvg:radical=""general",333.74955349112594,4
286,"一"" kvg:radical=""general",322.2051938424197,5
287,"一"" kvg:position=""bottom",288.490840157972,5
288,"丨"" kvg:radical=""nelson",342.6927920199634,5
289,"廿"" kvg:part=""4"" kvg:variant=""true",372.4248612222016,5
290,"一"" kvg:radical=""tradit",257.3863208121646,5
291,人,323.01040642673325,5
292,"一"" kvg:position=""bottom"" kvg:radical=""general",329.1974310701909,6
293,山,368.9808439117429,6
294,"业"" kvg:position=""bottom",334.3548628400032,8
295,"丨"" kvg:radical=""tradit",90.2328933347764,1
296,"丨"" kvg:position=""bottom"" kvg:radical=""tradit",176.6302324764077,3
297,"丨"" kvg:radical=""general",273.86278899729143,4
298,"丨"" kvg:radical=""general",306.81689709452144,5
299,"丨"" kvg:radical=""general",406.8507430241416,7
300,"丶"" kvg:radical=""general",32.522463702135376,1
301,"丶"" kvg:radical=""tradit",248.9575433807311,3
302,"丶"" kvg:radical=""tradit",318.5903110945114,4
303,"亠"" kvg:part=""2"" kvg:variant=""true"" kvg:radical=""nelson",252.15798481282053,5
304,"丶"" kvg:radical=""tradit",330.42203052602434,5
305,"丿"" kvg:radical=""general",90.95000457343978,1
306,"丿"" kvg:radical=""general",198.03453768898794,2
307,"丿"" kvg:radical=""general",246.7865430728662,2
308,"丿"" kvg:radical=""general",204.59647443775975,3
309,"丶"" kvg:variant=""true"" kvg:radical=""tradit",211.53361936985846,3
310,"丿"" kvg:radical=""general",234.73367629432283,5
311,亅,245.79758491983048,5
312,丶,259.779989400597,4
313,巾,441.5402773897304,7
314,"匕"" kvg:position=""right",381.6374272586461,8
315,"十"" kvg:part=""2",461.8696595720927,9
316,"木"" kvg:part=""1",449.650955627971,10
317,"乙"" kvg:radical=""general",187.53651273995354,1
318,"乙"" kvg:radical=""tradit",234.46555556981951,2
319,"乙"" kvg:position=""bottom"" kvg:radical=""general",254.94138649397502,3
320,"乙"" kvg:variant=""true"" kvg:radical=""tradit",288.98279671156905,3
321,"乙"" kvg:variant=""true"" kvg:position=""right"" kvg:radical=""jis",274.1686395139037,4
322,"乙"" kvg:variant=""true"" kvg:position=""right"" kvg:radical=""tradit",317.1233788858301,7
323,"乙"" kvg:position=""right"" kvg:radical=""general",326.0190354181069,8
324,"乙"" kvg:position=""bottom"" kvg:radical=""tradit",423.31483019360127,11
325,日,560.3371945369419,11
326,"乙"" kvg:variant=""true"" kvg:position=""right"" kvg:radical=""general",469.3184112973269,13
327,"亅"" kvg:radical=""general",96.3081659838829,1
328,"亅"" kvg:radical=""general",156.0861180489426,2
329,"亅"" kvg:radical=""general",253.46381042029165,4
330,"亅"" kvg:radical=""tradit",358.749710024009,6
331,"亅"" kvg:radical=""general",416.53429016361474,7
332,"亅"" kvg:radical=""general",489.8372546014604,8
333,"二"" kvg:radical=""general",139.34356696714624,2
334,亅,234.6096870351445,3
